,token,word,frequency,n_generate
432,47910,Vice,39,53
433,45271,1965,39,53
434,36713,Ranked,39,53
435,21448,Previous,39,53
436,49493,Runner,39,53
437,48393,Characters,39,53
438,37906,Python,39,53
439,14311,Amongst,38,52
440,35965,Trade,38,52
441,5562,that,38,52
442,31224,Senior,38,52
443,49422,Supporters,38,52
444,20610,Friday,38,52
445,43482,Atlanta,37,52
446,27301,1987,37,52
447,37103,Events,37,52
448,37143,Introduced,37,52
449,27608,Member,37,52
450,49788,Alternative,37,52
451,14832,Review,36,52
452,44239,Eva,36,52
453,37564,Doctor,36,52
454,37158,Medical,36,52
455,32750,Analysis,36,52
456,5304,2016,36,52
457,43621,Financial,35,51
458,21934,Sunday,35,51
459,41972,Created,35,51
460,20012,Community,35,51
461,15316,Again,35,51
462,49601,Numbers,34,51
463,44213,Naturally,34,51
464,41966,Liquid,34,51
465,39825,Minor,34,51
466,33921,Country,34,51
467,37781,1977,34,51
468,40677,Coach,34,51
469,12710,Officially,34,51
470,43241,Gameplay,34,51
471,48307,Economic,34,51
472,31007,Services,34,51
473,32101,Ruby,34,51
474,13175,NBC,33,50
475,37214,Limited,33,50
476,29279,1983,33,50
477,45251,Population,33,50
478,43541,Amidst,32,50
479,37482,Thousands,32,50
480,40475,Considering,32,50
481,46139,Baltimore,32,50
482,91,|,32,50
483,18932,Asked,32,50
484,31611,Physical,32,50
485,42350,Club,32,50
486,32470,NBA,32,50
487,18165,America,32,50
488,14282,Formerly,31,50
489,11006,Davidson,31,50
490,22058,Lesser,31,50
491,42349,Philadelphia,31,50
492,47892,Ultimate,31,50
493,31042,Lost,30,49
494,33796,Important,30,49
495,46477,1964,30,49
496,26287,Average,30,49
497,49646,Bound,30,49
498,49161,Sexual,30,49
499,15431,Republic,30,49
500,44614,Christmas,29,49
501,37396,Mayor,29,49
502,40281,Increased,29,49
503,49795,Snake,29,49
504,31343,Nazi,29,49
505,38108,1976,29,49
506,40220,1973,29,49
507,37179,Marco,29,49
508,36393,MIT,29,49
509,19334,draw,29,49
510,15514,Supporting,28,48
511,32901,Adding,28,48
512,7120,Your,28,48
513,25468,Results,28,48
514,34259,NATO,28,48
515,38485,Pakistan,28,48
516,43451,Kansas,28,48
517,43020,Artist,27,48
518,36376,Livingstone,27,48
519,28545,Daily,27,48
520,45272,Army,27,48
521,29435,Bonus,27,48
522,45648,Knowing,27,48
523,23595,Features,27,48
524,1399,…,27,48
525,41730,Learning,27,48
526,46332,Untitled,27,48
527,25,:,27,48
528,46845,Madison,26,47
529,17854,Indeed,26,47
530,34784,Probably,26,47
531,33869,YouTube,26,47
532,42830,1967,26,47
533,19927,References,26,47
534,39379,FBI,26,47
535,41120,Atlantic,26,47
536,40566,Independent,26,47
537,37766,Rules,26,47
538,45708,Letter,26,47
539,33528,Investigators,26,47
540,44199,Benchley,26,47
541,42986,Includes,26,47
542,36705,Friends,25,47
543,17354,Updated,25,47
544,31426,Lower,25,47
545,41023,1972,25,47
546,29398,Images,25,47
547,48708,Higher,25,47
548,9876,Page,25,47
549,21906,Introduction,25,47
550,28877,Whenever,25,47
551,40245,Austin,25,47
552,40581,Neal,25,47
553,27881,EVA,25,47
554,44815,Keeping,24,46
555,28292,Stevenson,24,46
556,45192,1963,24,46
557,35708,Voice,24,46
558,36939,Saudi,24,46
559,26723,Islamic,24,46
560,33006,Mexico,24,46
561,46238,Referring,24,46
562,41762,Transformers,24,46
563,27271,Place,24,46
564,44227,1966,24,46
565,10364,Presidential,23,45
566,41191,Miami,23,45
567,16516,Activity,23,45
568,25341,Membership,23,45
569,45403,1959,23,45
570,40828,1974,23,45
571,42872,Turkish,23,45
572,37950,1978,23,45
573,37948,Featured,23,45
574,361,if,23,45
575,25207,Constructed,23,45
576,34104,Bottomley,23,45
577,19160,Title,23,45
578,41129,Falco,23,45
579,42430,Delta,23,45
580,14490,Users,23,45
581,48790,Gaza,23,45
582,16190,Everyone,22,45
583,29818,Israeli,22,45
584,35407,Reviewer,22,45
585,16112,Europe,22,45
586,26416,Basic,22,45
587,32478,Either,22,45
588,29449,Breaking,22,45
589,16273,§,22,45
590,22248,Things,22,45
591,44357,Training,22,45
592,32475,Labour,22,45
593,38052,Used,22,45
594,44850,Ironically,21,44
595,39520,Animation,21,44
596,32080,Detailed,21,44
597,5297,Yes,21,44
598,38778,Student,21,44
599,43224,Asian,21,44
600,39902,Thucydides,21,44
601,43254,Tickets,21,44
602,28240,Jewish,21,44
603,42039,Conservative,21,44
604,43625,Normally,21,44
605,43830,Hispanic,21,44
606,49701,Giving,21,44
607,37887,Usually,21,44
608,30820,Chatwin,21,44
609,38391,1969,20,43
610,25714,Task,20,43
611,34059,Officers,20,43
612,19693,Everything,20,43
613,16991,Islam,20,43
614,28705,Authorities,20,43
615,16773,Come,20,43
616,2,#,20,43
617,12853,full,20,43
618,40540,Dallas,20,43
619,18124,Price,20,43
620,34094,Fuck,20,43
621,11980,Have,20,43
622,41178,Room,20,43
623,3695,78,20,43
624,38413,Beauty,19,43
625,41208,1971,19,43
626,32998,Senate,19,43
627,35741,Questions,19,43
628,47863,Theme,19,43
629,43303,Beta,19,43
630,27365,Fight,19,43
631,38449,1975,19,43
632,1659,of,19,43
633,3,$,19,43
634,24074,Security,19,43
635,9419,CR,19,43
636,20266,Dear,19,43
637,39914,Classic,19,43
638,48979,Emergency,19,43
639,35453,Improved,19,43
640,40872,Monster,18,42
641,13798,Engine,18,42
642,39310,→,18,42
643,20777,since,18,42
644,20361,Warning,18,42
645,18474,CNN,18,42
646,28809,Advanced,18,42
647,48142,Assuming,18,42
648,39792,Hours,18,42
649,9819,Related,18,42
650,44090,Dynamic,18,42
651,41044,Girls,18,42
652,41330,Colorado,18,42
653,14749,Location,18,42
654,37573,Machine,18,42
655,16928,Save,17,41
656,43606,Chance,17,41
657,47006,Battery,17,41
658,49802,Beer,17,41
659,34227,Flagstaff,17,41
660,13828,Which,17,41
661,10,+,17,41
662,29014,Associated,17,41
663,11610,Originating,17,41
664,38354,Documents,17,41
665,13949,Linezolid,17,41
666,11337,Figure,17,41
667,23690,Credit,17,41
668,30402,Apparently,17,41
669,40404,Detroit,17,41
670,43768,Completed,17,41
671,19926,Should,17,41
672,48464,Especially,17,41
673,42246,1968,17,41
674,31077,Response,17,41
675,20988,Complete,17,41
676,22923,CBS,17,41
677,28620,Engineers,17,41
678,36392,VT,17,41
679,40732,Arizona,17,41
680,49036,Lenin,17,41
681,35157,Race,17,41
682,43763,Arcade,17,41
683,62,_,17,41
684,27984,Davey,16,40
685,29531,Random,16,40
686,30,?,16,40
687,48181,Supported,16,40
688,29239,Channel,16,40
689,25372,Matthews,16,40
690,6738,from,16,40
691,23656,Center,16,40
692,36772,Agent,16,40
693,17067,Muslim,16,40
694,43467,Understanding,16,40
695,33433,Bernie,16,40
696,37511,Lastly,16,40
697,46202,Methods,16,40
698,33939,Democratic,16,40
699,25356,whether,16,40
700,6404,log,16,40
701,39194,Minecraft,16,40
702,16424,Childe,15,40
703,4821,Accordingly,15,40
704,21968,Largely,15,40
705,15645,Chrisye,15,40
706,17439,Franken,15,40
707,7371,Donaldson,15,40
708,45904,Talking,15,40
709,568,so,15,40
710,48650,Products,15,40
711,5999,83,15,40
712,42782,Demand,15,40
713,38555,Asia,15,40
714,37620,WIN,15,40
715,6329,---,15,40
716,30387,Springbok,14,39
717,4863,Frome,14,39
718,32117,Louisville,14,39
719,34530,Coolbrith,14,39
720,46471,Publishers,14,39
721,505,one,14,39
722,20660,Anonymous,14,39
723,48593,Calling,14,39
724,41691,Hidden,14,39
725,11545,two,14,39
726,19524,uncredited,14,39
727,34149,Setting,14,39
728,31929,Rule,14,39
729,24795,Nobody,14,39
730,30374,Always,14,39
731,1525,by,14,39
732,17513,BYU,14,39
733,31276,Fortunately,14,39
734,42969,Parents,14,39
735,12518,when,14,39
736,43921,Politics,14,39
737,45442,Static,14,39
738,44336,Sharp,14,39
739,40825,Sounds,14,39
740,28042,Unless,14,39
741,44154,Testing,14,39
742,46256,⁡,14,39
743,28455,Republicans,14,39
744,19619,Californium,14,39
745,30871,Memory,13,38
746,39746,Forward,13,38
747,29354,Neilston,13,38
748,49278,Yorktown,13,38
749,44719,Hartman,13,38
750,22911,Woodall,13,38
751,43279,ESA,13,38
752,41589,Harrisburg,13,38
753,41394,Gender,13,38
754,21745,Targeted,13,38
755,4360,but,13,38
756,42559,Wide,13,38
757,39989,Allenby,13,38
758,46319,Attorney,13,38
759,4971,Level,13,38
760,18257,Opeth,13,38
761,27136,Connor,13,38
762,32065,Language,13,38
763,24825,Drive,13,38
764,34255,Discussion,13,38
765,22210,Something,13,38
766,26437,Simple,13,38
767,37117,Words,13,38
768,44276,Secondly,13,38
769,10134,has,13,38
770,6633,Getty,13,38
771,10449,Thank,13,38
772,26245,Network,13,38
773,31205,Medium,13,38
774,35474,Ready,13,38
775,10197,even,13,38
776,5159,Image,13,38
777,43377,Xbox,13,38
778,49050,Elsa,13,38
779,2025,Anarky,12,37
780,20917,Youngs,12,37
781,29458,Josephson,12,37
782,1870,Andover,12,37
783,4944,UND,12,37
784,41267,Bright,12,37
785,25681,Stay,12,37
786,24616,Madeleine,12,37
787,45536,Faith,12,37
788,41166,Sense,12,37
789,47415,Jews,12,37
790,29318,Meet,12,37
791,258,he,12,37
792,33553,Party,12,37
793,38743,Dickov,12,37
794,47231,Principe,12,37
795,42770,Amazing,12,37
796,37349,Wilsonville,12,37
797,49770,Tea,12,37
798,47087,Doctors,12,37
799,31512,Armor,12,37
800,39841,Study,12,37
801,28566,Internet,12,37
802,49106,Consumer,12,37
803,4051,54,12,37
804,34456,Hope,12,37
805,35700,Pretty,12,37
806,41818,Weapons,12,37
807,28165,Urlacher,12,37
808,47520,Blade,12,37
809,41811,Cruz,12,37
810,24920,Stephenson,11,35
811,47738,Effects,11,35
812,9980,Newsom,11,35
813,9771,Calabozos,11,35
814,40330,Lewisville,11,35
815,3919,no,11,35
816,13715,Fixed,11,35
817,48620,Allahabad,11,35
818,30659,Lenore,11,35
819,33092,Interestingly,11,35
820,44831,Effective,11,35
821,46934,Nature,11,35
822,8524,then,11,35
823,33804,Fatboy,11,35
824,16692,Urse,11,35
825,7397,RCA,11,35
826,21129,Anyone,11,35
827,38824,Wareing,11,35
828,43260,Transfer,11,35
829,17822,Labradors,11,35
830,25215,Berryman,11,35
831,44893,Technology,11,35
832,48081,Woman,11,35
833,16601,KKR,11,35
834,35969,Palestinian,11,35
835,29123,Site,11,35
836,27743,Office,11,35
837,42419,Owner,11,35
838,1092,any,11,35
839,46888,NK,11,35
840,15496,Hello,11,35
841,48333,Changing,11,35
842,49111,Companies,11,35
843,14988,£,11,35
844,44901,Experience,11,35
845,14815,Version,11,35
846,12512,Augie,11,35
847,25004,Ericsson,10,34
848,32351,Fewest,10,34
849,21746,Property,10,34
850,24274,Internationalist,10,34
851,20448,Case,10,34
852,19485,Stop,10,34
853,42333,Braille,10,34
854,30805,Bradbury,10,34
855,23022,Items,10,34
856,22117,WMATA,10,34
857,48163,Rogue,10,34
858,26207,Stockhausen,10,34
859,12861,VI,10,34
860,27245,Covering,10,34
861,19242,Hasselbaink,10,34
862,45372,Safety,10,34
863,23907,Variants,10,34
864,23377,Library,10,34
865,28971,Better,10,34
866,19100,Report,10,34
867,45740,Motion,10,34
868,18234,Join,10,34
869,15522,Basiliscus,10,34
870,18081,Healthcare,10,34
871,41205,Split,10,34
872,42233,Grade,10,34
873,49073,Abyss,10,34
874,49800,MF,10,34
875,23810,Monday,10,34
876,28925,Energy,10,34
877,47662,Commerce,10,34
878,36352,Bear,10,34
879,43834,Export,10,34
880,9930,they,10,34
881,14618,Welcome,10,34
882,31441,Environment,10,34
883,25082,Happy,10,34
884,49757,Moscow,10,34
885,26932,Dropkick,10,34
886,45351,Developer,10,34
887,29969,Democrats,10,34
888,44046,Minimum,10,34
889,26362,Release,10,34
890,8,),10,34
891,8199,Neild,9,33
892,3673,Notosusanto,9,33
893,46,Oana,9,33
894,20045,Mucho,9,33
895,45585,Angelo,9,33
896,20866,BP,9,33
897,18960,Seasonal,9,33
898,13511,Managerial,9,33
899,45195,Mask,9,33
900,4304,76,9,33
901,47173,Exactly,9,33
902,22087,Help,9,33
903,47638,Said,9,33
904,38582,Suddenly,9,33
905,41995,Applications,9,33
906,45529,VII,9,33
907,45147,Issue,9,33
908,10438,van,9,33
909,3365,58,9,33
910,44959,Quite,9,33
911,19722,Option,9,33
912,29697,AAA,9,33
913,20397,Hillary,9,33
914,30821,Indianapolis,9,33
915,20570,Getting,9,33
916,36479,Messi,9,33
917,36001,Certainly,9,33
918,26747,Sanders,9,33
919,11708,Google,9,33
920,2885,ADHD,9,33
921,34382,JC,9,33
922,36044,Session,9,33
923,24151,Girlschool,9,33
924,5661,this,9,33
925,17636,Americans,9,33
926,20913,INS,9,33
927,26687,Reference,9,33
928,49026,Enhanced,9,33
929,24898,Recommissioned,9,33
930,16045,HCV,9,33
931,5492,Please,9,33
932,40229,Kids,9,33
933,47696,Bloomberg,9,33
934,37031,Meshuggah,9,33
935,46270,Dad,9,33
936,15801,106,9,33
937,5162,guilty,9,33
938,44095,Trott,8,31
939,19684,EU,8,31
940,3844,Nowotny,8,31
941,30847,Fredericton,8,31
942,25392,Lockwood,8,31
943,15029,Malhotra,8,31
944,25296,Journal,8,31
945,42265,Kentrosaurus,8,31
946,29053,Burne,8,31
947,20257,Writings,8,31
948,10987,Runnels,8,31
949,42918,Larrys,8,31
950,25189,Apollonius,8,31
951,26660,243,8,31
952,46912,Matrix,8,31
953,49709,Firstly,8,31
954,25153,Imagine,8,31
955,19904,Invader,8,31
956,8727,who,8,31
957,31640,Moonrise,8,31
958,40729,Keys,8,31
959,46108,Nation,8,31
960,36542,Scene,8,31
961,49488,Tomorrow,8,31
962,42492,Temperature,8,31
963,11246,some,8,31
964,35491,Chain,8,31
965,42237,States,8,31
966,25391,Tool,8,31
967,39286,Torrential,8,31
968,28172,Everybody,8,31
969,46022,Drag,8,31
970,31524,Basically,8,31
971,14592,Advertisements,8,31
972,48379,Specifically,8,31
973,13300,Maybe,8,31
974,533,are,8,31
975,22628,GateKeeper,8,31
976,43783,Tonight,8,31
977,28065,Yesterday,8,31
978,48523,Herm,8,31
979,47896,Whoever,8,31
980,41931,1945,8,31
981,36690,Names,8,31
982,6420,91Pa,8,31
983,28406,Easy,8,31
984,35087,Leave,8,31
985,49222,Pushkar,8,31
986,10493,Available,8,31
987,5607,97Bk,8,31
988,27150,Wednesday,8,31
989,10697,Server,8,31
990,24045,1080,8,31
991,17861,SQL,8,31
992,4178,ii,8,31
993,15708,Kingda,7,30
994,28544,Increases,7,30
995,36949,Solanas,7,30
996,8017,Polistes,7,30
997,36259,Visuals,7,30
998,32419,Specifics,7,30
999,35389,Gaara,7,30
1000,44819,Claiming,7,30
1001,20451,Leadership,7,30
1002,36488,Belliqueuse,7,30
1003,31633,Lytle,7,30
1004,5432,SSX,7,30
1005,13921,Does,7,30
1006,47659,Eat,7,30
1007,5333,61,7,30
1008,6469,82,7,30
1009,6659,81,7,30
1010,35361,Cash,7,30
1011,36307,Collection,7,30
1012,16281,Example,7,30
1013,22946,Lucan,7,30
1014,43015,Variable,7,30
1015,3829,90Th,7,30
1016,47569,Appearances,7,30
1017,9776,was,7,30
1018,28362,808s,7,30
1019,12906,×,7,30
1020,14231,Posted,7,30
1021,30838,Installation,7,30
1022,7050,water,7,30
1023,26125,Closely,7,30
1024,40202,Halotus,7,30
1025,45169,Shipping,7,30
1026,24524,Legendary,7,30
1027,45984,Ontario,7,30
1028,45509,Gaming,7,30
1029,40029,Syria,7,30
1030,35284,Nice,7,30
1031,44592,Shinan,7,30
1032,45027,Strength,7,30
1033,49725,Earnhardt,7,30
1034,31442,Alright,7,30
1035,43555,Nevado,7,30
1036,7902,CSG,7,30
1037,33762,Fill,7,30
1038,31067,electric,7,30
1039,45117,Lexie,7,30
1040,10995,Yeah,7,30
1041,45009,Leader,7,30
1042,47667,CDC,7,30
1043,19580,Status,7,30
1044,8929,high,7,30
1045,48507,Champollion,7,30
1046,39154,Company,7,30
1047,47323,Enough,7,30
1048,12050,Makeba,7,30
1049,40489,Alias,7,30
1050,50015,Failure,7,30
1051,15146,Feb,7,30
1052,45150,Versions,7,30
1053,39787,Bravely,7,30
1054,48791,Depth,7,30
1055,30337,Exit,7,30
1056,44758,Clock,7,30
1057,38469,Vector,7,30
1058,47649,Authentic,7,30
1059,49670,Assembly,7,30
1060,16447,Create,7,30
1061,40469,BGSU,7,30
1062,43117,Swordfish,7,30
1063,28869,syn,7,30
1064,24328,«,7,30
1065,23622,Assad,7,30
1066,48845,Wikipedia,7,30
